Date,Name of the analyst/investor,Type,Location
"April 4, 2018   ",Motilal Oswal Asset Management Company Limited Credit Suisse I,One-on-One meeting Voice call ,Mumbai  - 
"April 5, 2018 ",Maybank Eng Securities India Private Limited,One-on-One meeting,Mumbai 
